,RENT_ID,RENT_NM_x,USE_CNT,MOVE_METER,평균이동거리,RENT_NM_y,LAT,LONG
210,359,359. 원남동사거리,18654,29560049.44,1584.6493749329902,359. 원남동사거리,37.57606125,126.99768066
211,361,361. 동묘앞역 1번출구 뒤,50303,103057369.14,2048.7320664771487,361. 동묘앞역 1번출구 뒤,37.57324219,127.01590729
212,362,362. 청계8가사거리 A,35023,86903102.75,2481.315214287754,362. 청계8가사거리 A,37.57223511,127.0231781
213,363,363. 신설동역 11번출구 뒤,31988,60926659.93,1904.6723749531075,363. 신설동역 11번출구 뒤,37.57559204,127.02285004
214,364,364. 창신역 1번출구 앞,7707,16277377.87,2112.025155053847,364. 창신역 1번출구 앞,37.57933426,127.01508331
215,367,367. 독립문역 3-1번출구 ,21202,49076084.89,2314.691297519102,367. 독립문역 3-1번출구 ,37.57415771,126.95851898
216,368,368. SK 서린빌딩 앞,26931,79670532.08,2958.3206000519845,368. SK 서린빌딩 앞,37.5692482,126.98053741
217,370,370. 시청역(2호선) 9번출구 뒤,33855,76732252.34,2266.4968938118445,370. 시청역(2호선) 9번출구 뒤,37.56322861,126.97483826
218,371,371. 동대입구역 6번출구 뒤,8744,23476663.71,2684.8883474382433,371. 동대입구역 6번출구 뒤,37.55887222,127.00553894
219,372,372. 약수역 3번출구 뒤,8978,25855832.06,2879.9100089106705,372. 약수역 3번출구 뒤,37.55429459,127.01119995
220,374,374. 청구역 2번출구 앞,23652,55751445.18,2357.1556392694065,374. 청구역 2번출구 앞,37.5604744,127.01407623
221,379,379. 서울역9번출구,12977,40327648.03,3107.6248770902366,379. 서울역9번출구,37.55599976,126.97335815
222,380,380. CJ제일제당 앞,19237,42859975.39,2227.9968493008264,380. CJ제일제당 앞,37.56386566,127.00274658
223,381,381. 장충체육관,1713,4335482.48,2530.9296438995916,381. 장충체육관,37.55853271,127.00698853
224,382,382. 약수역 10번출구 앞,5746,15771676.22,2744.8096449704144,382. 약수역 10번출구 앞,37.55519867,127.01004791
225,383,383. 신당역 12번 출구 뒤,64483,149337284.21,2315.917128700588,383. 신당역 12번 출구 뒤,37.56591797,127.01642609
226,384,384. 종로학원본원 ,6820,12438110.43,1823.769857771261,384. 종로학원본원 ,37.55978012,126.96850586
227,385,385. 종각역 5번출구,23574,55328141.71,2346.9984605921777,385. 종각역 5번출구,37.56983566,126.98265839
228,387,387. 훈련원공원주차장 앞,16582,40278849.24,2429.070633216741,387. 훈련원공원주차장 앞,37.56699371,127.00346375
229,388,388. 동성중학교 앞,6441,12810682.92,1988.9276385654402,388. 동성중학교 앞,37.58573532,127.0016098
230,389,389. 을지로4가역 1번출구,15986,36826748.26,2303.6874928062052,389. 을지로4가역 1번출구,37.5667305,126.99660492
231,390,390. 충무로역 1번출구,12360,29523149.9,2388.604360841424,390. 충무로역 1번출구,37.56138992,126.9953537
232,391,391. 시립미술관,11868,23182744.01,1953.3825421300978,391. 시립미술관,37.56505203,126.97340393
233,393,393. 동대문역 8번 출구,36568,88080357.21,2408.67308056224,393. 동대문역 8번 출구,37.57014084,127.00937653
234,394,394. 경희궁 자이 3단지,13788,27303915.93,1980.2666035683203,394. 경희궁 자이 3단지,37.56748962,126.96591949
235,395,395. 경희궁 자이 2단지,14412,29808788.78,2068.3311670829867,395. 경희궁 자이 2단지,37.56885529,126.96456146
236,397,397. 종묘공영주차장 건너편,5990,14108569.07,2355.3537679465776,397. 종묘공영주차장 건너편,37.57048035,126.99663544
237,398,398. 을지로3가역 3번출구,26708,62583686.2,2343.2561854126106,398. 을지로3가역 3번출구,37.56655884,126.99243927
238,399,399. 서울역 센트럴 자이아파트,12256,27573595.9,2249.8038430156657,399. 서울역 센트럴 자이아파트,37.55410767,126.96540833
239,400,400. 상암한화오벨리스크 1차 앞,16652,35295148.55,2119.5741382416527,400. 상암한화오벨리스크 1차 앞,37.58752441,126.88300323
240,401,401. 상암월드컵파크 10단지 앞,14546,29239710.14,2010.1546913240754,401. 상암월드컵파크 10단지 앞,37.58618927,126.88161469
241,402,402. 상암월드컵파크 9단지 앞,9490,20557954.09,2166.2754573234984,402. 상암월드컵파크 9단지 앞,37.5829277,126.87983704
242,403,403. 부엉이공원 앞,12062,24393004.54,2022.3018189354998,403. 부엉이공원 앞,37.58559036,126.88472748
243,405,405. DMC빌 앞,8753,21069317.26,2407.096682280361,405. DMC빌 앞,37.58265686,126.88578796
244,406,406. 상암월드컵파크 7단지 앞,11753,27845057.51,2369.1872296434954,406. 상암월드컵파크 7단지 앞,37.58108902,126.88088226
245,407,407. 마포구 육아종합지원센터,14887,30797947.84,2068.781342110566,407. 마포구 육아종합지원센터,37.58063126,126.88367462
246,408,408. LG CNS앞,12179,26007976.98,2135.477213235898,408. LG CNS앞,37.58081055,126.88665009
